SAMPLE,Crop,Block,Month,P.col,P.ves,P.hyphae
CC12,Corn,1,Oct,78.26086957,10.86956522,71.73913043
CC21,Corn,2,Oct,77.08333333,21.83333333,76.08333333
CC35,Corn,3,Oct,82.41758242,16.48351648,65.93406593
CC43,Corn,4,Oct,87.5,14.375,78.75
P13,prairie,1,Oct,45.5,36.5,9
P24,prairie,2,Oct,33.5,27,9.5
P31,prairie,3,Oct,37.5,35.5,6
P46,prairie,4,Oct,43,37.5,5.5
PF15,prairieFert,1,Oct,68,50,18
PF23,prairieFert,2,Oct,55,46,9
PF32,prairieFert,3,Oct,36,35,4
PF41,prairieFert,4,Oct,60,45,18
CC12,Corn,1,July,82,9,81
CC21,Corn,2,July,74,18,72
CC35,Corn,3,July,56,14,54
CC43,Corn,4,July,77,14,74
P13,prairie,1,July,41.5,38.5,5.5
P24,prairie,2,July,44.5,43,6
P31,prairie,3,July,42,41,5
P46,prairie,4,July,42,41.5,2.5
PF15,prairieFert,1,July,40.5,32,19.5
PF23,prairieFert,2,July,43.5,39.5,8.5
PF32,prairieFert,3,July,48,45,11
PF41,prairieFert,4,July,48.5,40.5,13.5
